Type de changement	 Fichier non corrigé	 Fichier corrigé	 Mots du fichier non corrigé remplacés dans le fichier corrigé	 Mots remplaçants dans le fichier corrigé	
equal 	   EN_non_corr_lg_9.csv[0:13]	 EN_corr_lg_9.csv[0:13]	 ['"Poesies', 'DE', 'Valentin', '"', 'HENRI', 'PUBLIEES', 'MM. T. LAROUSSILHE', '"Passage Choiseul', 'PARIS', 'J. GIRMA', 'LIBRAIRE', '24"', '"Boulevard Gambetta']	 ['"Poesies', 'DE', 'Valentin', '"', 'HENRI', 'PUBLIEES', 'MM. T. LAROUSSILHE', '"Passage Choiseul', 'PARIS', 'J. GIRMA', 'LIBRAIRE', '24"', '"Boulevard Gambetta']
delete	   EN_non_corr_lg_9.csv[1648:1649]	 EN_corr_lg_9.csv[1613:1613]	 ['miniftre']	 []
equal 	   EN_non_corr_lg_9.csv[1649:1651]	 EN_corr_lg_9.csv[1613:1615]	 ['Confucius', '"& mourir']	 ['Confucius', '"& mourir']
replace	   EN_non_corr_lg_9.csv[1651:1653]	 EN_corr_lg_9.csv[1615:1617]	 ['Chao-tching-mao"', 'défordre']	 ['Chao-thing-mao"', 'déordre']
equal 	   EN_non_corr_lg_9.csv[1653:1654]	 EN_corr_lg_9.csv[1617:1618]	  ['fcs']	 ['fcs']
delete	   EN_non_corr_lg_9.csv[1654:1655]	 EN_corr_lg_9.csv[1618:1618]	  ['xvj']	 []
equal 	   EN_non_corr_lg_9.csv[1655:1656]	 EN_corr_lg_9.csv[1618:1619]	 ['Unfeuldecesvices']	 ['Unfeuldecesvices']
replace	   EN_non_corr_lg_9.csv[1656:1658]	 EN_corr_lg_9.csv[1619:1621]	 ['"Chaoce', 'tching-mao\xa0"']	 ['"Chance', 'thing-mao\xa0;"']
equal 	   EN_non_corr_lg_9.csv[1658:1661]	 EN_corr_lg_9.csv[1621:1624]	 ['"Lou\xa0: le', 'prince"', 'Tsi']	 ['"Lou\xa0: le', 'prince"', 'Tsi']
replace	   EN_non_corr_lg_9.csv[1661:1662]	 EN_corr_lg_9.csv[1624:1626]	 ['royaume de Lou']	 ['royaume de Ou', 'Hit']
equal 	   EN_non_corr_lg_9.csv[1662:1668]	 EN_corr_lg_9.csv[1626:1632]	 ['la Chine', 'Oj S E RVATI', 'ON S. SVÏj', '"Se', 'excellentes cantatrices"', 'Lou']	 ['la Chine', 'Oj S E RVATI', 'ON S. SVÏj', '"Se', 'excellentes cantatrices"', 'Lou']
delete	   EN_non_corr_lg_9.csv[1668:1669]	 EN_corr_lg_9.csv[1632:1632]	 ['fon état']	 []
equal 	   EN_non_corr_lg_9.csv[1669:1672]	 EN_corr_lg_9.csv[1632:1635]	 ['& fe', 'province d’', 'prince d’Ouéi']	 ['& fe', 'province d’', 'prince d’Ouéi']
insert	   EN_non_corr_lg_9.csv[1672:1672]	 EN_corr_lg_9.csv[1635:1636]	       []	 ['fon']
equal 	   EN_non_corr_lg_9.csv[1672:1673]	 EN_corr_lg_9.csv[1636:1637]	 ['Confucius']	 ['Confucius']
delete	   EN_non_corr_lg_9.csv[1673:1675]	 EN_corr_lg_9.csv[1637:1637]	 ['OBSIS', 'VAT']	 []
equal 	   EN_non_corr_lg_9.csv[1675:1677]	 EN_corr_lg_9.csv[1637:1639]	 ['Confucius', '"Se']	 ['Confucius', '"Se']
replace	   EN_non_corr_lg_9.csv[1677:1679]	 EN_corr_lg_9.csv[1639:1640]	 ['fe"', '"principauté de']	 ['se retira dans la principauté de']
equal 	   EN_non_corr_lg_9.csv[1679:1680]	 EN_corr_lg_9.csv[1640:1641]	 ['Tso"']	 ['Tso"']
delete	   EN_non_corr_lg_9.csv[1680:1681]	 EN_corr_lg_9.csv[1641:1641]	 ['afsez']	 []
equal 	   EN_non_corr_lg_9.csv[1681:1682]	 EN_corr_lg_9.csv[1641:1642]	 ['Confucius']	 ['Confucius']
replace	   EN_non_corr_lg_9.csv[1682:1685]	 EN_corr_lg_9.csv[1642:1643]	 ['"fe ca-', 'O B S E R"', 'Tien']	 ['O B S DE R VAT']
equal 	   EN_non_corr_lg_9.csv[1685:1688]	 EN_corr_lg_9.csv[1643:1646]	 ['fouvent', '& perfécuté', 'prince de Tchou']	 ['fouvent', '& perfécuté', 'prince de Tchou']
replace	   EN_non_corr_lg_9.csv[1688:1689]	 EN_corr_lg_9.csv[1646:1647]	 ['ainfi']	 ['feslumieres.il']
equal 	   EN_non_corr_lg_9.csv[1689:1690]	 EN_corr_lg_9.csv[1647:1648]	 ['fon inftruélion']	 ['fon inftruélion']
replace	   EN_non_corr_lg_9.csv[1690:1694]	 EN_corr_lg_9.csv[1648:1651]	 ['& fe confacra', '"fes difciples,"', 'Penfeigner &', 'perfuader']	 ['fes', '"Renseigner & pour', '(i) Hill"']
equal 	   EN_non_corr_lg_9.csv[1694:1695]	 EN_corr_lg_9.csv[1651:1652]	 ['Confucius']	 ['Confucius']
replace	   EN_non_corr_lg_9.csv[1695:1697]	 EN_corr_lg_9.csv[1652:1654]	 ['oififs & ennuyés', 'Xxij O B S f']	 ['"Xxie O D S f RVATI O N S.', 'reurs"']
equal 	   EN_non_corr_lg_9.csv[1697:1700]	 EN_corr_lg_9.csv[1654:1657]	 ['II', '"fes infmi', 'étions"']	 ['II', '"fes infmi', 'étions"']
replace	   EN_non_corr_lg_9.csv[1700:1701]	 EN_corr_lg_9.csv[1657:1658]	 ['"& fur-tout des principes']	 ['"& sur-tout des principes']
equal 	   EN_non_corr_lg_9.csv[1701:1702]	 EN_corr_lg_9.csv[1658:1659]	   [',"']	 [',"']
delete	   EN_non_corr_lg_9.csv[1702:1708]	 EN_corr_lg_9.csv[1659:1659]	 ['nécerfité', '"fes principes fondamentaux', '&"', 'facrifîcr', 'fes ouvrages &', 'fes']	 []
equal 	   EN_non_corr_lg_9.csv[1708:1710]	 EN_corr_lg_9.csv[1659:1661]	 ['xxiv', 'Confucius']	 ['xxiv', 'Confucius']
replace	   EN_non_corr_lg_9.csv[1710:1713]	 EN_corr_lg_9.csv[1661:1662]	 ['fes difciples', 'dirFufion', 'préfenter fes']	 ['difFusion']
equal 	   EN_non_corr_lg_9.csv[1713:1716]	 EN_corr_lg_9.csv[1662:1665]	 ['Confucius', 'Telle', 'Confucius']	 ['Confucius', 'Telle', 'Confucius']
delete	   EN_non_corr_lg_9.csv[1716:1717]	 EN_corr_lg_9.csv[1665:1665]	  ['fes']	 []
equal 	   EN_non_corr_lg_9.csv[1717:1718]	 EN_corr_lg_9.csv[1665:1666]	 ['Tome II']	 ['Tome II']
insert	   EN_non_corr_lg_9.csv[1718:1718]	 EN_corr_lg_9.csv[1666:1667]	       []	 ['Confucius']
equal 	   EN_non_corr_lg_9.csv[1718:1719]	 EN_corr_lg_9.csv[1667:1668]	    ['S']	 ['S']
insert	   EN_non_corr_lg_9.csv[1719:1719]	 EN_corr_lg_9.csv[1668:1670]	       []	 ['intétion &', 'Chao-hongrie']
equal 	   EN_non_corr_lg_9.csv[1719:1721]	 EN_corr_lg_9.csv[1670:1672]	 ['vifîter', 'Confucius']	 ['vifîter', 'Confucius']
delete	   EN_non_corr_lg_9.csv[1721:1723]	 EN_corr_lg_9.csv[1672:1672]	 ['Ses fuccefseurs', 'fes']	 []
equal 	   EN_non_corr_lg_9.csv[1723:1724]	 EN_corr_lg_9.csv[1672:1673]	 ['"Hantchang-ti']	 ['"Hantchang-ti']
replace	   EN_non_corr_lg_9.csv[1724:1725]	 EN_corr_lg_9.csv[1673:1675]	 ['fait conftruire"']	 ['fait construire une salle', 'où il place l’effigie"']
equal 	   EN_non_corr_lg_9.csv[1725:1726]	 EN_corr_lg_9.csv[1675:1676]	 ['Confucius']	 ['Confucius']
delete	   EN_non_corr_lg_9.csv[1726:1728]	 EN_corr_lg_9.csv[1676:1676]	 ['"fes difciples', '\xa0;"']	 []
equal 	   EN_non_corr_lg_9.csv[1728:1732]	 EN_corr_lg_9.csv[1676:1680]	 ['O I-lift', 't. j', 'Confucius', 'Confucius']	 ['O I-lift', 't. j', 'Confucius', 'Confucius']
replace	   EN_non_corr_lg_9.csv[1732:1735]	 EN_corr_lg_9.csv[1680:1681]	 ['ainfi', 'fon', 'fe']	 ['Hit']
equal 	   EN_non_corr_lg_9.csv[1735:1736]	 EN_corr_lg_9.csv[1681:1682]	 ['la Chine']	 ['la Chine']
replace	   EN_non_corr_lg_9.csv[1736:1738]	 EN_corr_lg_9.csv[1682:1683]	 ['ainfi', 'Confucius eft']	 ['Confucius']
equal 	   EN_non_corr_lg_9.csv[1738:1739]	 EN_corr_lg_9.csv[1683:1684]	 ['la Chine']	 ['la Chine']
delete	   EN_non_corr_lg_9.csv[1739:1741]	 EN_corr_lg_9.csv[1684:1684]	 ['falles', 'fon honneur']	 []
equal 	   EN_non_corr_lg_9.csv[1741:1745]	 EN_corr_lg_9.csv[1684:1688]	 ['Chine', 'Confucius', 'Chinois', 'Confucius']	 ['Chine', 'Confucius', 'Chinois', 'Confucius']
delete	   EN_non_corr_lg_9.csv[1745:1746]	 EN_corr_lg_9.csv[1688:1688]	 ['fes devoirs &']	 []
equal 	   EN_non_corr_lg_9.csv[1746:1748]	 EN_corr_lg_9.csv[1688:1690]	 ['Confucius', 'Chinois']	 ['Confucius', 'Chinois']
delete	   EN_non_corr_lg_9.csv[1748:1750]	 EN_corr_lg_9.csv[1690:1690]	 ['elt', '"reconuoître fon difciple,"']	 []
equal 	   EN_non_corr_lg_9.csv[1750:1751]	 EN_corr_lg_9.csv[1690:1691]	 ['doctrine de Confucius']	 ['doctrine de Confucius']
delete	   EN_non_corr_lg_9.csv[1751:1753]	 EN_corr_lg_9.csv[1691:1691]	 ['"fes difciples,', '&"']	 []
equal 	   EN_non_corr_lg_9.csv[1753:1759]	 EN_corr_lg_9.csv[1691:1697]	 ['fîx', 'P. Noël', 'lesTsée-chu', '"Ecole des Adultes', 'ou la"', 'Grande Scie nce']	 ['fîx', 'P. Noël', 'lesTsée-chu', '"Ecole des Adultes', 'ou la"', 'Grande Scie nce']
replace	   EN_non_corr_lg_9.csv[1759:1760]	 EN_corr_lg_9.csv[1697:1698]	 ['"Tufie']	 ['"Tudie']
equal 	   EN_non_corr_lg_9.csv[1760:1766]	 EN_corr_lg_9.csv[1698:1704]	 ['Milieu"', 'Livre des Sentences', '"Memcius, la"', '"Piétéfiliale,Sel’École', 'des Enfants,', 'Les livres canoniques du second']	 ['Milieu"', 'Livre des Sentences', '"Memcius, la"', '"Piétéfiliale,Sel’École', 'des Enfants,', 'Les livres canoniques du second']
replace	   EN_non_corr_lg_9.csv[1766:1767]	 EN_corr_lg_9.csv[1704:1706]	 ['sxxij"']	 ['"', 'sixi']
equal 	   EN_non_corr_lg_9.csv[1767:1773]	 EN_corr_lg_9.csv[1706:1712]	 ['King', '"Si', 'exposée"', 'la Chine', 'Chinois', 'la Chine']	 ['King', '"Si', 'exposée"', 'la Chine', 'Chinois', 'la Chine']
replace	   EN_non_corr_lg_9.csv[1773:1775]	 EN_corr_lg_9.csv[1712:1715]	 ['exifte', 'Amftcrdam']	 ['"sophie morale', '& politique"', 'Amsterdam']
equal 	   EN_non_corr_lg_9.csv[1775:1781]	 EN_corr_lg_9.csv[1715:1721]	 ['Morale de Confucius', 'Le P. du Halde', '"P.', 'Noël"', '"P.', 'Noëlétoitcertainementphilofopke,']	 ['Morale de Confucius', 'Le P. du Halde', '"P.', 'Noël"', '"P.', 'Noëlétoitcertainementphilofopke,']
replace	   EN_non_corr_lg_9.csv[1781:1782]	 EN_corr_lg_9.csv[1721:1722]	 ['OBSERVATIONS, XXXV']	 ['OBSERVATIONS, XXX']
equal 	   EN_non_corr_lg_9.csv[1782:1787]	 EN_corr_lg_9.csv[1722:1727]	 ['&"', '"Science des Adultes', '&"', 'Milieu', 'Science des Adultes']	 ['&"', '"Science des Adultes', '&"', 'Milieu', 'Science des Adultes']
replace	   EN_non_corr_lg_9.csv[1787:1791]	 EN_corr_lg_9.csv[1727:1729]	 ['"Corifucius,"', '"fon difciple Tfem-tfée.', '"', 'fes moeurs']	 ['Confucius', 'fon disciple']
equal 	   EN_non_corr_lg_9.csv[1791:1793]	 EN_corr_lg_9.csv[1729:1731]	 ['Ois', 'Confucius']	 ['Ois', 'Confucius']
delete	   EN_non_corr_lg_9.csv[1793:1794]	 EN_corr_lg_9.csv[1731:1731]	 ['fon état']	 []
equal 	   EN_non_corr_lg_9.csv[1794:1795]	 EN_corr_lg_9.csv[1731:1732]	 ['concorde']	 ['concorde']
delete	   EN_non_corr_lg_9.csv[1795:1796]	 EN_corr_lg_9.csv[1732:1732]	 ['fes femblables']	 []
equal 	   EN_non_corr_lg_9.csv[1796:1799]	 EN_corr_lg_9.csv[1732:1735]	 ['Confucius', '"Grande', 'Science"']	 ['Confucius', '"Grande', 'Science"']
replace	   EN_non_corr_lg_9.csv[1799:1800]	 EN_corr_lg_9.csv[1735:1736]	 ['Jufte Milieu']	 ['Le Juste Milieu']
equal 	   EN_non_corr_lg_9.csv[1800:1801]	 EN_corr_lg_9.csv[1736:1737]	 ['Milieu']	 ['Milieu']
replace	   EN_non_corr_lg_9.csv[1801:1802]	 EN_corr_lg_9.csv[1737:1738]	 ['Tsée-sée']	 ['Tée-séle']
equal 	   EN_non_corr_lg_9.csv[1802:1811]	 EN_corr_lg_9.csv[1738:1747]	 ['Confucius', '"Confucius examine', 'fes pafïïons"', 'fes inclinations', '"fes', 'defirs"', 'xxxviij', '&c', 'Confucius']	 ['Confucius', '"Confucius examine', 'fes pafïïons"', 'fes inclinations', '"fes', 'defirs"', 'xxxviij', '&c', 'Confucius']
delete	   EN_non_corr_lg_9.csv[1811:1813]	 EN_corr_lg_9.csv[1747:1747]	 ['redefeend', 'fes']	 []
equal 	   EN_non_corr_lg_9.csv[1813:1814]	 EN_corr_lg_9.csv[1747:1748]	 ['Chinois']	 ['Chinois']
delete	   EN_non_corr_lg_9.csv[1814:1816]	 EN_corr_lg_9.csv[1748:1748]	 ['eft ainfi', 'eft ainfi']	 []
equal 	   EN_non_corr_lg_9.csv[1816:1818]	 EN_corr_lg_9.csv[1748:1750]	 ['penferont', 'PP']	 ['penferont', 'PP']
replace	   EN_non_corr_lg_9.csv[1818:1819]	 EN_corr_lg_9.csv[1750:1751]	 ['"Intorceta']	 ['"Intercept']
equal 	   EN_non_corr_lg_9.csv[1819:1820]	 EN_corr_lg_9.csv[1751:1752]	 ['& Noël"']	 ['& Noël"']
replace	   EN_non_corr_lg_9.csv[1820:1821]	 EN_corr_lg_9.csv[1752:1753]	 ['TraduQion']	 ['TradiTion']
equal 	   EN_non_corr_lg_9.csv[1821:1822]	 EN_corr_lg_9.csv[1753:1754]	 ['Grande Science &']	 ['Grande Science &']
delete	   EN_non_corr_lg_9.csv[1822:1824]	 EN_corr_lg_9.csv[1754:1754]	 ['"Jufie Milieu,', '"']	 []
equal 	   EN_non_corr_lg_9.csv[1824:1826]	 EN_corr_lg_9.csv[1754:1756]	 ['LA GRANDE', 'LA GRANDE']	 ['LA GRANDE', 'LA GRANDE']
replace	   EN_non_corr_lg_9.csv[1826:1834]	 EN_corr_lg_9.csv[1756:1758]	 ['"Aij', '4 IA GRANDE"', 'fon état naturel &', '"& en faifant de fîneeres &', 'de fréquents efforts"', 'eft ainfi', 'Lorfque', 'afsez']	 ['"Ais', '4 LA GRANDE"']
equal 	   EN_non_corr_lg_9.csv[1834:1836]	 EN_corr_lg_9.csv[1758:1760]	 ['"faculté rai-', 'LA.GRANDE"']	 ['"faculté rai-', 'LA.GRANDE"']
replace	   EN_non_corr_lg_9.csv[1836:1841]	 EN_corr_lg_9.csv[1760:1764]	 ['fon', 'inftructions &', 'fes', 'fali', 'Ton entreprife']	 ['mali', '"Ton entreprise au', 'dernier degré de perfection\xa0: c’est', 'infî"']
equal 	   EN_non_corr_lg_9.csv[1841:1843]	 EN_corr_lg_9.csv[1764:1766]	 ['cft', 'LA GRANDE']	 ['cft', 'LA GRANDE']
delete	   EN_non_corr_lg_9.csv[1843:1846]	 EN_corr_lg_9.csv[1766:1766]	 ['Lorfque', '"fes', 'fens &"']	 []
equal 	   EN_non_corr_lg_9.csv[1846:1847]	 EN_corr_lg_9.csv[1766:1767]	 ['efpece']	 ['efpece']
delete	   EN_non_corr_lg_9.csv[1847:1848]	 EN_corr_lg_9.csv[1767:1767]	 ['leurame']	 []
equal 	   EN_non_corr_lg_9.csv[1848:1852]	 EN_corr_lg_9.csv[1767:1771]	 ['LA GRANDE', 'obfcurcie', 'Us', 'ilfalloit']	 ['LA GRANDE', 'obfcurcie', 'Us', 'ilfalloit']
replace	   EN_non_corr_lg_9.csv[1852:1853]	 EN_corr_lg_9.csv[1771:1773]	 ['Ainfi']	 ['"De', 'LA GRANDE"']
equal 	   EN_non_corr_lg_9.csv[1853:1854]	 EN_corr_lg_9.csv[1773:1774]	 ['Si LA GRANDE']	 ['Si LA GRANDE']
delete	   EN_non_corr_lg_9.csv[1854:1855]	 EN_corr_lg_9.csv[1774:1774]	 ['honnête & du déshonnêtc\xa0;']	 []
equal 	   EN_non_corr_lg_9.csv[1855:1856]	 EN_corr_lg_9.csv[1774:1775]	 ['LA GRANDE']	 ['LA GRANDE']
delete	   EN_non_corr_lg_9.csv[1856:1858]	 EN_corr_lg_9.csv[1775:1775]	 ['fon', 'fes moeurs &']	 []
equal 	   EN_non_corr_lg_9.csv[1858:1859]	 EN_corr_lg_9.csv[1775:1776]	 ['Tome II']	 ['Tome II']
replace	   EN_non_corr_lg_9.csv[1859:1861]	 EN_corr_lg_9.csv[1776:1777]	 ['Ton royaume', 'caufer']	 ['Son royaume']
equal 	   EN_non_corr_lg_9.csv[1861:1865]	 EN_corr_lg_9.csv[1777:1781]	 ['"Se y', 'faire renaître la paix"', 'LA GRANDE', '"ordre S:']	 ['"Se y', 'faire renaître la paix"', 'LA GRANDE', '"ordre S:']
replace	   EN_non_corr_lg_9.csv[1865:1869]	 EN_corr_lg_9.csv[1781:1782]	 ['la difeipline"', 'fes', 'fes moeurs & fa', 'fes devoirs']	 ['la discipline de la maison"']
equal 	   EN_non_corr_lg_9.csv[1869:1873]	 EN_corr_lg_9.csv[1782:1786]	 ['"&', 'Bij', '\\6"', 'LA GRANDE']	 ['"&', 'Bij', '\\6"', 'LA GRANDE']
delete	   EN_non_corr_lg_9.csv[1873:1874]	 EN_corr_lg_9.csv[1786:1786]	 ['Vouloir']	 []
equal 	   EN_non_corr_lg_9.csv[1874:1875]	 EN_corr_lg_9.csv[1786:1787]	 ['Sides']	 ['Sides']
delete	   EN_non_corr_lg_9.csv[1875:1877]	 EN_corr_lg_9.csv[1787:1787]	 ['fon efprit', 'fes moeurs & fa']	 []
equal 	   EN_non_corr_lg_9.csv[1877:1878]	 EN_corr_lg_9.csv[1787:1788]	 ['1A GRANDE']	 ['1A GRANDE']
replace	   EN_non_corr_lg_9.csv[1878:1880]	 EN_corr_lg_9.csv[1788:1789]	 ['"fes', 'voifms& fes"']	 ['blair']
equal 	   EN_non_corr_lg_9.csv[1880:1881]	 EN_corr_lg_9.csv[1789:1790]	    ['V']	 ['V']
delete	   EN_non_corr_lg_9.csv[1881:1882]	 EN_corr_lg_9.csv[1790:1790]	 ['OILA']	 []
equal 	   EN_non_corr_lg_9.csv[1882:1884]	 EN_corr_lg_9.csv[1790:1792]	 ['Confucius', 'B']	 ['Confucius', 'B']
replace	   EN_non_corr_lg_9.csv[1884:1885]	 EN_corr_lg_9.csv[1792:1795]	 ['fon difciple Tfun-tfée']	 ['"Fun-tfée,', 'qui ne s’est pas permis d’y ajouter', 'ni d’en retrancher un seul mot"']
equal 	   EN_non_corr_lg_9.csv[1885:1886]	 EN_corr_lg_9.csv[1795:1796]	 ['fesdifciples']	 ['fesdifciples']
replace	   EN_non_corr_lg_9.csv[1886:1893]	 EN_corr_lg_9.csv[1796:1798]	 ['lerenouvellement', 'lanéceflîté &', '"fes moeurs\xa0;', '8°"', 'lanécerfité', 'fes moeurs', 'nécefïïté']	 ['GRANDE', 'lanéreflîté']
equal 	   EN_non_corr_lg_9.csv[1893:1895]	 EN_corr_lg_9.csv[1798:1800]	 ['ÎO LA GRANDE', 'Confucius']	 ['ÎO LA GRANDE', 'Confucius']
delete	   EN_non_corr_lg_9.csv[1895:1896]	 EN_corr_lg_9.csv[1800:1800]	 ['foit impoffible']	 []
equal 	   EN_non_corr_lg_9.csv[1896:1901]	 EN_corr_lg_9.csv[1800:1805]	 ['la Chine', 'Chinois', 'LA GRANDE', '"ZI', 'I SUN"']	 ['la Chine', 'Chinois', 'LA GRANDE', '"ZI', 'I SUN"']
delete	   EN_non_corr_lg_9.csv[1901:1903]	 EN_corr_lg_9.csv[1805:1805]	 ['"difent fes', 'enfants\xa0"']	 []
equal 	   EN_non_corr_lg_9.csv[1903:1905]	 EN_corr_lg_9.csv[1805:1807]	 ['états fe', 'refpeér']	 ['états fe', 'refpeér']
replace	   EN_non_corr_lg_9.csv[1905:1907]	 EN_corr_lg_9.csv[1807:1810]	 ['Taiticn', 'fes']	 ['"Tition négligea', 'le rétablissement de la clarté', 'naturelle"']
equal 	   EN_non_corr_lg_9.csv[1907:1911]	 EN_corr_lg_9.csv[1810:1814]	 ['cîu Chou-king', 'Amelot', 'Chou-king', 'LA GRANDE']	 ['cîu Chou-king', 'Amelot', 'Chou-king', 'LA GRANDE']
delete	   EN_non_corr_lg_9.csv[1911:1913]	 EN_corr_lg_9.csv[1814:1814]	 ['Cliun', 'efprit']	 []
equal 	   EN_non_corr_lg_9.csv[1913:1914]	 EN_corr_lg_9.csv[1814:1815]	 ['c. j']	 ['c. j']
replace	   EN_non_corr_lg_9.csv[1914:1916]	 EN_corr_lg_9.csv[1815:1818]	 ['Siang', 'fes vertus']	 ['"Sang qui étoit plein d’orgueil, sut', 'rétablir"', 'Y-a-o']
equal 	   EN_non_corr_lg_9.csv[1916:1918]	 EN_corr_lg_9.csv[1818:1820]	 ['"Chun, qui', 'gouverna l’empire"']	 ['"Chun, qui', 'gouverna l’empire"']
replace	   EN_non_corr_lg_9.csv[1918:1920]	 EN_corr_lg_9.csv[1820:1821]	 ['"Y-a-o.', 'Y"']	 ['L-a']
equal 	   EN_non_corr_lg_9.csv[1920:1925]	 EN_corr_lg_9.csv[1821:1826]	 ['Chine', 'LA GRANDE', '"c. i.', 'Tome II"', 'LA GRANDE']	 ['Chine', 'LA GRANDE', '"c. i.', 'Tome II"', 'LA GRANDE']
replace	   EN_non_corr_lg_9.csv[1925:1928]	 EN_corr_lg_9.csv[1826:1827]	 ['Tchin-tang', 'lavoit', 'afsez']	 ['Chin-tang']
equal 	   EN_non_corr_lg_9.csv[1928:1931]	 EN_corr_lg_9.csv[1827:1830]	 ['LA GRANDE', 'Telles', '8 LA GRANDE']	 ['LA GRANDE', 'Telles', '8 LA GRANDE']
replace	   EN_non_corr_lg_9.csv[1931:1934]	 EN_corr_lg_9.csv[1830:1832]	 ['efprit & fes moeurs', 'Clii-king', '"Tcheous foient']	 ['Clip-king', '"Tcheous soient']
equal 	   EN_non_corr_lg_9.csv[1934:1935]	 EN_corr_lg_9.csv[1832:1833]	 ['des plus anciens"']	 ['des plus anciens"']
replace	   EN_non_corr_lg_9.csv[1935:1936]	 EN_corr_lg_9.csv[1833:1834]	 ['Hev-eié']	 ['Hev-eté']
equal 	   EN_non_corr_lg_9.csv[1936:1940]	 EN_corr_lg_9.csv[1834:1838]	 ['"Yen-vam de-', 'Ï.A GRANDE"', 'Confucius', 'I']	 ['"Yen-vam de-', 'Ï.A GRANDE"', 'Confucius', 'I']
replace	   EN_non_corr_lg_9.csv[1940:1942]	 EN_corr_lg_9.csv[1838:1842]	 ['C', '"Clii-king']	 ['Chi-king', '"C ii', 'JO LA GRANDE"', '"Clip-king']
equal 	   EN_non_corr_lg_9.csv[1942:1943]	 EN_corr_lg_9.csv[1842:1843]	 ['dit\xa0: ce Voyez ces moineaux"']	 ['dit\xa0: ce Voyez ces moineaux"']
delete	   EN_non_corr_lg_9.csv[1943:1944]	 EN_corr_lg_9.csv[1843:1843]	 ['fe repofer']	 []
equal 	   EN_non_corr_lg_9.csv[1944:1946]	 EN_corr_lg_9.csv[1843:1845]	 ['Confucius', 'LA GRANDE']	 ['Confucius', 'LA GRANDE']
delete	   EN_non_corr_lg_9.csv[1946:1947]	 EN_corr_lg_9.csv[1845:1845]	 ['foit']	 []
equal 	   EN_non_corr_lg_9.csv[1947:1952]	 EN_corr_lg_9.csv[1845:1850]	 ['"Chi-king', 'en"', 'O', 'Ven - vam', 'GRANDE']	 ['"Chi-king', 'en"', 'O', 'Ven - vam', 'GRANDE']
replace	   EN_non_corr_lg_9.csv[1952:1954]	 EN_corr_lg_9.csv[1850:1855]	 ['"Tes différents âges, &dans', 'toutes les époques de fa vie\xa0;"']	 ['"Entam', 'dans"', '"Les différents âges, &dans', 'toutes les époques de la vie\xa0;"', 'I..A GRANDE']
equal 	   EN_non_corr_lg_9.csv[1954:1959]	 EN_corr_lg_9.csv[1855:1860]	 ['"Se le plus fidèle des', 'amis"', '"Chi«\xa0', 'king"', 'fleuve Ki']	 ['"Se le plus fidèle des', 'amis"', '"Chi«\xa0', 'king"', 'fleuve Ki']
delete	   EN_non_corr_lg_9.csv[1959:1962]	 EN_corr_lg_9.csv[1860:1860]	 ['fes eaux &', 'rofeaux', 'fes rives']	 []
equal 	   EN_non_corr_lg_9.csv[1962:1963]	 EN_corr_lg_9.csv[1860:1861]	 ['Ven-vam']	 ['Ven-vam']
delete	   EN_non_corr_lg_9.csv[1963:1964]	 EN_corr_lg_9.csv[1861:1861]	 ['confidérez fon']	 []
equal 	   EN_non_corr_lg_9.csv[1964:1965]	 EN_corr_lg_9.csv[1861:1862]	 ['cifeau']	 ['cifeau']
insert	   EN_non_corr_lg_9.csv[1965:1965]	 EN_corr_lg_9.csv[1862:1863]	       []	 ['& le polis']
equal 	   EN_non_corr_lg_9.csv[1965:1968]	 EN_corr_lg_9.csv[1863:1866]	 ['34 1A GRANDE', 'Voyez le lapidaire\xa0', 'Ven-vam']	 ['34 1A GRANDE', 'Voyez le lapidaire\xa0', 'Ven-vam']
delete	   EN_non_corr_lg_9.csv[1968:1969]	 EN_corr_lg_9.csv[1866:1866]	 ['fon aine\xa0!']	 []
equal 	   EN_non_corr_lg_9.csv[1969:1970]	 EN_corr_lg_9.csv[1866:1867]	    ['S']	 ['S']
delete	   EN_non_corr_lg_9.csv[1970:1972]	 EN_corr_lg_9.csv[1867:1867]	 ['fes manières\xa0!', 'fédoit']	 []
equal 	   EN_non_corr_lg_9.csv[1972:1973]	 EN_corr_lg_9.csv[1867:1868]	  ['Ton']	 ['Ton']
insert	   EN_non_corr_lg_9.csv[1973:1973]	 EN_corr_lg_9.csv[1868:1870]	       []	 ['"Venant', 'au fculpteurqui"']
equal 	   EN_non_corr_lg_9.csv[1973:1974]	 EN_corr_lg_9.csv[1870:1871]	 ['LA GRANDE']	 ['LA GRANDE']
replace	   EN_non_corr_lg_9.csv[1974:1978]	 EN_corr_lg_9.csv[1871:1873]	 ['fon efprit\xa0!', 'nésrliçrence', 'fes', 'fédoit']	 ['fon esprit\xa0!', 'néssliçrence']
equal 	   EN_non_corr_lg_9.csv[1978:1980]	 EN_corr_lg_9.csv[1873:1875]	 ['Yen-vam', 'LA GRANDE']	 ['Yen-vam', 'LA GRANDE']
delete	   EN_non_corr_lg_9.csv[1980:1981]	 EN_corr_lg_9.csv[1875:1875]	 ['refpeit']	 []
equal 	   EN_non_corr_lg_9.csv[1981:1982]	 EN_corr_lg_9.csv[1875:1876]	 ['Le Chi']	 ['Le Chi']
